sale_id,sale_datetime,product_id,qty,branch_id,channel
2025-09-29-0,2025-09-29T19:08:00,46,7,1,retail
2025-09-29-1,2025-09-29T08:26:00,34,2,2,retail
2025-09-29-2,2025-09-29T11:50:00,44,5,3,ecommerce
2025-09-29-3,2025-09-29T21:20:00,20,3,5,ecommerce
2025-09-29-4,2025-09-29T02:06:00,41,8,3,ecommerce
2025-09-29-5,2025-09-29T01:00:00,36,4,3,ecommerce
2025-09-29-6,2025-09-29T22:25:00,9,2,1,ecommerce
2025-09-29-7,2025-09-29T17:46:00,44,1,2,ecommerce
2025-09-29-8,2025-09-29T08:12:00,37,1,2,ecommerce
2025-09-29-9,2025-09-29T10:39:00,39,1,2,retail
2025-09-29-10,2025-09-29T19:49:00,35,5,2,retail
2025-09-29-11,2025-09-29T10:32:00,45,2,2,ecommerce
2025-09-29-12,2025-09-29T04:57:00,42,1,5,retail
2025-09-29-13,2025-09-29T10:50:00,5,1,1,retail
2025-09-29-14,2025-09-29T10:50:00,10,1,1,ecommerce
2025-09-29-15,2025-09-29T14:07:00,27,1,3,retail
2025-09-29-16,2025-09-29T06:24:00,7,6,2,retail
2025-09-29-17,2025-09-29T00:53:00,49,5,5,retail
2025-09-29-18,2025-09-29T20:21:00,15,2,2,retail
2025-09-29-19,2025-09-29T12:15:00,6,2,5,ecommerce
2025-09-29-20,2025-09-29T22:10:00,24,1,2,ecommerce
2025-09-29-21,2025-09-29T16:46:00,31,3,1,ecommerce
2025-09-29-22,2025-09-29T00:30:00,18,3,4,retail
2025-09-29-23,2025-09-29T22:54:00,13,3,4,ecommerce
2025-09-29-24,2025-09-29T23:28:00,21,2,4,retail
2025-09-29-25,2025-09-29T14:35:00,26,3,4,ecommerce
2025-09-29-26,2025-09-29T13:27:00,40,1,5,retail
2025-09-29-27,2025-09-29T17:46:00,7,1,1,retail
2025-09-29-28,2025-09-29T17:42:00,35,4,4,retail
2025-09-29-29,2025-09-29T19:02:00,25,1,1,retail
