sale_id,sale_datetime,product_id,qty,branch_id,channel
2025-09-23-0,2025-09-23T18:10:00,18,1,5,retail
2025-09-23-1,2025-09-23T11:02:00,46,2,5,retail
2025-09-23-2,2025-09-23T04:37:00,49,5,4,retail
2025-09-23-3,2025-09-23T09:27:00,42,5,2,retail
2025-09-23-4,2025-09-23T10:59:00,16,5,4,ecommerce
2025-09-23-5,2025-09-23T04:51:00,37,1,4,ecommerce
2025-09-23-6,2025-09-23T02:34:00,41,1,1,ecommerce
2025-09-23-7,2025-09-23T17:35:00,48,2,3,ecommerce
2025-09-23-8,2025-09-23T16:39:00,21,7,5,retail
2025-09-23-9,2025-09-23T03:10:00,47,5,3,retail
2025-09-23-10,2025-09-23T18:14:00,26,2,2,ecommerce
2025-09-23-11,2025-09-23T07:13:00,32,2,3,retail
2025-09-23-12,2025-09-23T19:19:00,32,6,3,retail
2025-09-23-13,2025-09-23T01:34:00,7,1,1,retail
2025-09-23-14,2025-09-23T05:23:00,29,1,4,retail
2025-09-23-15,2025-09-23T14:36:00,13,7,3,retail
2025-09-23-16,2025-09-23T09:21:00,6,2,3,ecommerce
2025-09-23-17,2025-09-23T02:48:00,24,1,1,ecommerce
2025-09-23-18,2025-09-23T21:21:00,20,1,2,ecommerce
2025-09-23-19,2025-09-23T22:22:00,6,2,4,retail
2025-09-23-20,2025-09-23T04:31:00,38,2,2,ecommerce
2025-09-23-21,2025-09-23T00:19:00,1,1,4,retail
2025-09-23-22,2025-09-23T16:18:00,5,1,2,ecommerce
2025-09-23-23,2025-09-23T03:02:00,47,3,3,ecommerce
2025-09-23-24,2025-09-23T04:40:00,25,2,2,retail
2025-09-23-25,2025-09-23T02:20:00,34,1,2,ecommerce
2025-09-23-26,2025-09-23T11:59:00,47,1,2,retail
2025-09-23-27,2025-09-23T14:03:00,40,1,1,retail
2025-09-23-28,2025-09-23T04:46:00,49,1,1,ecommerce
2025-09-23-29,2025-09-23T11:59:00,28,2,3,retail
2025-09-23-30,2025-09-23T08:28:00,36,4,5,ecommerce
2025-09-23-31,2025-09-23T23:34:00,2,4,3,retail
2025-09-23-32,2025-09-23T17:40:00,39,1,5,retail
2025-09-23-33,2025-09-23T13:22:00,19,1,2,ecommerce
2025-09-23-34,2025-09-23T13:10:00,8,1,2,ecommerce
2025-09-23-35,2025-09-23T21:46:00,39,6,1,ecommerce
2025-09-23-36,2025-09-23T10:48:00,9,4,4,ecommerce
2025-09-23-37,2025-09-23T12:28:00,35,1,1,retail
