expense_id,date,department_id,amount,vendor,branch_id
exp-2025-10-28-0,2025-10-28,3,1561.18,Williams LLC,3
exp-2025-10-28-1,2025-10-28,5,804.67,Lam PLC,5
exp-2025-10-28-2,2025-10-28,5,232.55,Ruiz Group,4
exp-2025-10-28-3,2025-10-28,2,1913.84,Burton-Cole,3
exp-2025-10-28-4,2025-10-28,3,762.16,Goodman-Martinez,1
exp-2025-10-28-5,2025-10-28,3,1376.41,Moore Inc,2
exp-2025-10-28-6,2025-10-28,2,721.62,"Thompson, Phelps and Fitzpatrick",5
exp-2025-10-28-7,2025-10-28,4,1056.71,Clark Group,3
exp-2025-10-28-8,2025-10-28,2,136.42,Brown PLC,1
exp-2025-10-28-9,2025-10-28,3,37.79,"Salas, Walker and Chandler",2
exp-2025-10-28-10,2025-10-28,4,996.14,Eaton Ltd,1
exp-2025-10-28-11,2025-10-28,5,396.7,Roberts-Saunders,3
exp-2025-10-28-12,2025-10-28,5,112.68,Wood Inc,5
exp-2025-10-28-13,2025-10-28,4,1930.41,"Nguyen, Mendez and Buckley",2
exp-2025-10-28-14,2025-10-28,5,177.77,Martinez Inc,1
